participant_id,phase_id,condition_id,algorithm,configuration,rating_id,pos,track_id,rating,score,danceability,energy,audio_key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
161,4,13,MAUT,8,1,5,1eN1K7YPRButXU7Mq0V58N,0.1,-0.310641,0.822,0.575,6,-4.587,0,0.0464,0.0182,0.0000445,0.109,0.286,110.028
161,4,13,MAUT,8,1,4,1V7dfxBuI7pOysGAKm6w3S,0.1,-0.365462,0.504,0.458,5,-9.06,0,0.102,0.233,0.00278,0.0977,0.416,118.161
161,4,13,MAUT,8,1,3,55h7vJchibLdUkxdlX3fK7,0.6,-1.26887,0.874,0.692,5,-5.28,0,0.0431,0.0412,0.0000724,0.324,0.937,116.017
161,4,13,MAUT,8,1,2,1rIKgCH4H52lrvDcz50hS8,0.2,-0.479662,0.694,0.712,7,-3.923,0,0.046,0.133,0,0.211,0.799,98.022
161,4,13,MAUT,8,1,1,1mVKWLlNKn7lgasPVhxQjD,0.1,-0.289171,0.486,0.231,2,-10.277,1,0.0494,0.754,0,0.37,0.327,122.755
161,4,13,MAUT,8,1,0,6EzSy7WxNCazx3csu7lxdV,0.1,-0.556387,0.514,0.758,0,-6.864,1,0.074,0.00569,0,0.145,0.35,99.89
161,4,13,MAUT,8,0,9,0mBKv9DkYfQHjdMcw2jdyI,0.4,-1.30633,0.571,0.539,5,-4.446,0,0.116,0.0208,0,0.125,0.727,202.103
161,4,13,MAUT,8,0,8,6b8Be6ljOzmkOmFslEb23P,0.8,-1.62791,0.818,0.803,1,-4.282,1,0.0797,0.034,0,0.153,0.632,106.97
161,4,13,MAUT,8,0,7,3w3y8KPTfNeOKPiqUTakBh,0.3,-0.726655,0.726,0.698,5,-4.165,1,0.0431,0.049,0,0.309,0.867,143.994
161,4,13,MAUT,8,0,6,3NgCzSW98SsqBdpYcnm4kv,0.1,-0.409813,0.393,0.555,10,-6.096,0,0.276,0.405,0,0.105,0.22,167.999
161,4,13,MAUT,8,0,5,1eN1K7YPRButXU7Mq0V58N,0.1,-0.310641,0.822,0.575,6,-4.587,0,0.0464,0.0182,0.0000445,0.109,0.286,110.028
161,4,13,MAUT,8,0,4,1V7dfxBuI7pOysGAKm6w3S,0.1,-0.365462,0.504,0.458,5,-9.06,0,0.102,0.233,0.00278,0.0977,0.416,118.161
161,4,13,MAUT,8,0,3,55h7vJchibLdUkxdlX3fK7,0.8,-1.26887,0.874,0.692,5,-5.28,0,0.0431,0.0412,0.0000724,0.324,0.937,116.017
161,4,13,MAUT,8,0,2,1rIKgCH4H52lrvDcz50hS8,0.4,-0.479662,0.694,0.712,7,-3.923,0,0.046,0.133,0,0.211,0.799,98.022
161,4,13,MAUT,8,0,0,6EzSy7WxNCazx3csu7lxdV,0.2,-0.556387,0.514,0.758,0,-6.864,1,0.074,0.00569,0,0.145,0.35,99.89
161,4,13,MAUT,8,0,1,1mVKWLlNKn7lgasPVhxQjD,0.1,-0.289171,0.486,0.231,2,-10.277,1,0.0494,0.754,0,0.37,0.327,122.755
161,3,12,MAUT,7,1,9,3P4v70V3Zt804r2c9dZivK,0.4,-0.400354,0.701,0.579,10,-5.673,1,0.0412,0.569,0,0.255,0.349,129.969
161,3,12,MAUT,7,1,8,6pnTyRAogmCmSliAYqJOOQ,0.4,,0.664,0.37,7,-10.617,1,0.0345,0.272,0.0000787,0.0946,0.209,94.037
161,3,12,MAUT,7,1,7,5iqF2bOx5i4nSs1RrPkSGi,0.2,,0.499,0.642,2,-7.008,1,0.0339,0.573,0,0.0967,0.309,135.532
161,3,12,MAUT,7,1,6,6nYG96RSOObF4IMeaZssM3,0.4,-0.000901967,0.574,0.435,11,-11.201,1,0.0349,0.346,0,0.123,0.57,80.857
161,3,12,MAUT,7,1,5,55h7vJchibLdUkxdlX3fK7,0.7,-0.320085,0.874,0.692,5,-5.28,0,0.0431,0.0412,0.0000724,0.324,0.937,116.017
161,3,12,MAUT,7,1,4,30raivfq7rSt5nKltiHfzG,0.3,-0.517528,0.705,0.784,2,-4.351,1,0.0279,0.211,0.0000043,0.0813,0.418,104.98
161,3,12,MAUT,7,1,3,6mXQ2zWueyrIvt5dKxkqMx,0.2,,0.528,0.657,10,-6.05,0,0.0312,0.0875,0.0000171,0.112,0.382,83.97
161,3,12,MAUT,7,1,2,5cBqMafC2gUkDe6grCYhBP,0.1,-0.130914,0.629,0.625,1,-5.293,1,0.0353,0.21,0,0.0796,0.524,125.003
161,3,12,MAUT,7,1,1,6b8Be6ljOzmkOmFslEb23P,0.8,-0.694107,0.818,0.803,1,-4.282,1,0.0797,0.034,0,0.153,0.632,106.97
161,3,12,MAUT,7,1,0,0JN7vUgUolHGHFrOR8xk7S,0.3,-0.0484488,0.436,0.39,1,-9.62,0,0.0326,0.557,0,0.12,0.119,125.313
161,3,12,MAUT,7,0,9,3P4v70V3Zt804r2c9dZivK,0.4,-0.400354,0.701,0.579,10,-5.673,1,0.0412,0.569,0,0.255,0.349,129.969
161,3,12,MAUT,7,0,8,6pnTyRAogmCmSliAYqJOOQ,0.6,,0.664,0.37,7,-10.617,1,0.0345,0.272,0.0000787,0.0946,0.209,94.037
161,3,12,MAUT,7,0,7,5iqF2bOx5i4nSs1RrPkSGi,0.3,,0.499,0.642,2,-7.008,1,0.0339,0.573,0,0.0967,0.309,135.532
161,3,12,MAUT,7,0,6,6nYG96RSOObF4IMeaZssM3,0.6,-0.000901967,0.574,0.435,11,-11.201,1,0.0349,0.346,0,0.123,0.57,80.857
161,3,12,MAUT,7,0,5,55h7vJchibLdUkxdlX3fK7,0.9,-0.320085,0.874,0.692,5,-5.28,0,0.0431,0.0412,0.0000724,0.324,0.937,116.017
161,3,12,MAUT,7,0,4,30raivfq7rSt5nKltiHfzG,0.5,-0.517528,0.705,0.784,2,-4.351,1,0.0279,0.211,0.0000043,0.0813,0.418,104.98
161,3,12,MAUT,7,0,3,6mXQ2zWueyrIvt5dKxkqMx,0.3,,0.528,0.657,10,-6.05,0,0.0312,0.0875,0.0000171,0.112,0.382,83.97
161,3,12,MAUT,7,0,2,5cBqMafC2gUkDe6grCYhBP,0.1,-0.130914,0.629,0.625,1,-5.293,1,0.0353,0.21,0,0.0796,0.524,125.003
161,3,12,MAUT,7,0,0,0JN7vUgUolHGHFrOR8xk7S,0.4,-0.0484488,0.436,0.39,1,-9.62,0,0.0326,0.557,0,0.12,0.119,125.313
161,3,12,MAUT,7,0,1,6b8Be6ljOzmkOmFslEb23P,0.9,-0.694107,0.818,0.803,1,-4.282,1,0.0797,0.034,0,0.153,0.632,106.97
156,5,14,MAUT,9,1,9,1rzs180WYrX3GXKcEzEcHQ,0.2,-0.673429,0.667,0.716,4,-3.601,1,0.0321,0.134,0,0.194,0.891,87.022
156,5,14,MAUT,9,1,8,0K8tVfNLsVbYrYdNYmWqAa,0.7,-1.64676,0.662,0.803,11,-7.19,1,0.0447,0.0271,0.0511,0.127,0.11,126.059
156,5,14,MAUT,9,1,7,7uObfbegIGow74NAVBCnRV,0.8,-2.08375,0.67,0.968,8,-2.515,0,0.056,0.0778,0.209,0.317,0.399,125.991
156,5,14,MAUT,9,1,6,05cvpVyIGQdl6h2ORfSmGd,0.7,-1.06657,0.703,0.959,7,-2.552,1,0.0733,0.0118,0.00000103,0.0813,0.385,127.988
156,5,14,MAUT,9,1,5,5vMAKJ78vhNtvbIKz4yeIY,0.9,-1.00888,0.668,0.91,0,-3.884,1,0.225,0.0254,0,0.0937,0.577,125.812
156,5,14,MAUT,9,1,4,0kHyKhJMukHEPfeh8s7rdM,0.9,-2.25995,0.688,0.688,3,-5.84,1,0.0357,0.3,0,0.0982,0.451,114.011
156,5,14,MAUT,9,1,3,37QqzE0j5XAAYzaPTKcZfV,0.8,-1.53662,0.666,0.9,0,-5.285,1,0.0543,0.265,0.0000235,0.29,0.626,123.031
156,5,14,MAUT,9,1,2,6gvtonslvhIpFPlv5qDKoY,0.5,-0.989709,0.665,0.972,9,-3.674,0,0.0588,0.0153,0.344,0.0908,0.165,127.999
156,5,14,MAUT,9,1,1,5cImOblhS97lw6MvbPupUu,0.6,-1.6619,0.448,0.856,5,-3.162,0,0.0537,0.0211,0.00002,0.2,0.511,127.977
156,5,14,MAUT,9,1,0,6WRTNDVblJW6Dstku4aHix,0.7,-1.4965,0.671,0.457,3,-9.853,0,0.0366,0.108,0.321,0.197,0.318,87.995
156,5,14,MAUT,9,0,9,1rzs180WYrX3GXKcEzEcHQ,0.3,-0.673429,0.667,0.716,4,-3.601,1,0.0321,0.134,0,0.194,0.891,87.022
156,5,14,MAUT,9,0,8,0K8tVfNLsVbYrYdNYmWqAa,0.8,-1.64676,0.662,0.803,11,-7.19,1,0.0447,0.0271,0.0511,0.127,0.11,126.059
156,5,14,MAUT,9,0,7,7uObfbegIGow74NAVBCnRV,0.8,-2.08375,0.67,0.968,8,-2.515,0,0.056,0.0778,0.209,0.317,0.399,125.991
156,5,14,MAUT,9,0,6,05cvpVyIGQdl6h2ORfSmGd,0.6,-1.06657,0.703,0.959,7,-2.552,1,0.0733,0.0118,0.00000103,0.0813,0.385,127.988
156,5,14,MAUT,9,0,5,5vMAKJ78vhNtvbIKz4yeIY,0.9,-1.00888,0.668,0.91,0,-3.884,1,0.225,0.0254,0,0.0937,0.577,125.812
156,5,14,MAUT,9,0,4,0kHyKhJMukHEPfeh8s7rdM,0.9,-2.25995,0.688,0.688,3,-5.84,1,0.0357,0.3,0,0.0982,0.451,114.011
156,5,14,MAUT,9,0,3,37QqzE0j5XAAYzaPTKcZfV,0.8,-1.53662,0.666,0.9,0,-5.285,1,0.0543,0.265,0.0000235,0.29,0.626,123.031
156,5,14,MAUT,9,0,2,6gvtonslvhIpFPlv5qDKoY,0.4,-0.989709,0.665,0.972,9,-3.674,0,0.0588,0.0153,0.344,0.0908,0.165,127.999
156,5,14,MAUT,9,0,1,5cImOblhS97lw6MvbPupUu,0.6,-1.6619,0.448,0.856,5,-3.162,0,0.0537,0.0211,0.00002,0.2,0.511,127.977
156,4,13,MAUT,8,1,9,,0.6,,0,0,0,0,0,0,0,0,0,0,0
156,5,14,MAUT,9,0,0,6WRTNDVblJW6Dstku4aHix,0.7,-1.4965,0.671,0.457,3,-9.853,0,0.0366,0.108,0.321,0.197,0.318,87.995
156,4,13,MAUT,8,1,8,,0.7,,0,0,0,0,0,0,0,0,0,0,0
156,4,13,MAUT,8,1,7,,0.8,,0,0,0,0,0,0,0,0,0,0,0
