"","participant_id","endtime","conditions","starttime","p2.Demographics.answers","p2.Demographics.timestamp","p7.msi.answers","p7.msi.timestamp","p10.PlaylistCharacteristics.answers","p10.PlaylistCharacteristics.timestamp","p11.PlaylistCharacteristics.answers","p11.PlaylistCharacteristics.timestamp","p12.PlaylistCharacteristics.answers","p12.PlaylistCharacteristics.timestamp"
"52",254,"2019-01-18 10:18:59","[13,12,14]","2019-01-18 10:18:59","[0,""27"",6]","2019-01-18 10:19:15","[3,1,6,6,6,6,2,6,1,6,0,6,5,1,5,0,0,1]","2019-01-18 10:20:36","[3,1,3,3,3,1]","2019-01-18 10:23:13","[3,2,3,3,2,2]","2019-01-18 10:24:58","[3,1,3,3,1,3]","2019-01-18 10:26:30"
"53",255,"2019-01-18 11:15:59","[12,13,14]","2019-01-18 11:15:58","[1,""22"",3]","2019-01-18 11:16:37","[2,0,0,2,1,3,3,1,3,3,4,3,6,5,2,1,0,0]","2019-01-18 11:18:50","[2,2,3,3,3,1]","2019-01-18 11:22:17","[3,1,3,2,2,1]","2019-01-18 11:24:30","[3,1,3,2,3,1]","2019-01-18 11:26:22"
"54",256,"2019-01-18 11:55:13","[14,12,13]","2019-01-18 11:55:13","[0,""23"",5]","2019-01-18 11:55:38","[5,3,5,6,6,6,1,5,0,6,0,5,1,2,6,5,3,6]","2019-01-18 11:57:57","[1,3,1,2,2,3]","2019-01-18 12:05:23","[2,3,2,3,3,2]","2019-01-18 12:08:05","[3,1,3,3,2,1]","2019-01-18 12:09:59"
"55",258,"2019-01-19 08:04:16","[12,13,14]","2019-01-19 08:04:16","[0,""26"",1]","2019-01-19 08:04:45","[2,0,2,4,3,4,0,1,4,2,4,4,3,3,2,5,2,1]","2019-01-19 08:09:10","[3,1,3,1,1,2]","2019-01-19 08:14:11","[3,1,3,1,1,2]","2019-01-19 08:17:15","[3,1,3,1,1,2]","2019-01-19 08:19:50"
"56",261,"2019-01-22 15:39:20","[13,14,12]","2019-01-22 15:39:20","[1,""25"",1]","2019-01-22 15:39:36","[2,2,2,3,2,3,2,2,6,0,3,0,4,4,4,2,1,1]","2019-01-22 15:41:56","[3,1,2,3,3,0]","2019-01-22 15:44:53","[1,3,1,2,2,2]","2019-01-22 15:48:21","[3,1,2,3,3,1]","2019-01-22 15:50:13"
"57",262,"2019-01-22 18:11:15","[13,12,14]","2019-01-22 18:11:15","[1,""23"",1]","2019-01-22 18:11:24","[0,0,0,3,4,2,1,0,0,2,0,0,6,5,4,5,3,2]","2019-01-22 18:12:54","[3,0,3,2,1,2]","2019-01-22 18:16:35","[2,0,3,3,3,1]","2019-01-22 18:19:58","[1,3,1,3,3,1]","2019-01-22 18:23:05"
"58",264,"2019-01-28 00:41:19","[12,14,13]","2019-01-28 00:08:26","[1,""23"",2]","2019-01-28 00:08:51","[1,0,0,1,0,0,4,1,5,2,5,2,6,6,1,0,0,1]","2019-01-28 00:10:31","[1,4,1,4,4,0]","2019-01-28 00:19:14","[0,4,0,3,2,1]","2019-01-28 00:27:19","[0,4,1,1,2,2]","2019-01-28 00:33:16"
"59",267,"","[13,12,14]","2019-01-31 13:46:43","[1,""25"",1]","2019-01-31 13:51:03","[1,0,0,4,1,0,6,3,2,1,4,4,6,6,3,0,0,0]","2019-01-31 13:56:11","[2,3,2,1,1,3]","2019-01-31 14:01:42","[2,3,1,3,3,2]","2019-01-31 14:05:56","[1,3,2,4,4,0]","2019-01-31 14:08:38"
"60",274,"2019-02-01 17:53:09","[12,13,14]","2019-02-01 17:53:09","[0,""20"",6]","2019-02-01 17:53:25","[2,1,3,3,0,3,5,4,4,2,4,5,2,5,3,0,0,0]","2019-02-01 18:01:26","[3,3,3,4,3,3]","2019-02-01 18:03:51","[3,3,3,2,3,2]","2019-02-01 18:06:10","[1,4,1,3,2,2]","2019-02-01 18:08:34"
"61",45,"2019-01-09 17:23:52","[13,12,14]","2019-01-09 23:57:08","[1,""25"",5]","2019-01-09 23:57:13","[6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6]","2019-01-09 23:57:23","[4,4,4,4,4,4]","2019-01-09 23:57:50","[3,3,3,3,3,3]","2019-01-09 23:58:27","",""
"62",219,"2019-01-14 14:47:53","[13,12,14]","2019-01-16 16:44:39","[1,""25"",4]","2019-01-16 16:45:00","[4,0,4,5,4,5,6,1,2,5,2,5,4,6,5,0,0,0]","2019-01-16 16:46:37","[3,1,4,1,1,3]","2019-01-16 16:50:49","[0,4,0,3,3,1]","2019-01-16 17:47:58","",""
"63",247,"2019-01-17 19:07:24","[13,12,14]","2019-01-17 19:07:24","[0,""21"",2]","2019-01-17 19:07:48","[2,0,3,2,2,3,6,1,4,1,4,4,6,6,4,0,0,0]","2019-01-17 19:10:11","[3,2,3,3,2,2]","2019-01-17 19:18:00","[3,1,4,4,3,2]","2019-01-17 19:22:16","",""
"64",253,"2019-01-17 20:47:55","[12,13,14]","2019-01-17 20:47:55","[1,""0"",1]","2019-01-17 20:48:13","[0,0,1,0,1,1,5,3,2,3,4,3,5,6,0,0,0,0]","2019-01-17 20:49:40","[2,3,1,4,3,0]","2019-01-17 20:54:25","[0,4,0,1,2,1]","2019-01-17 21:09:45","",""
"65",260,"2019-01-22 10:26:15","[13,12,14]","2019-01-22 10:26:15","[1,""25"",2]","2019-01-22 10:26:30","[3,0,2,5,1,4,4,3,2,4,2,5,5,4,4,0,0,0]","2019-01-22 10:28:07","[4,0,3,3,2,3]","2019-01-22 10:33:49","[3,0,3,3,2,1]","2019-01-22 10:36:34","",""
"66",45,"2019-01-09 17:23:52","[13,12,14]","2019-01-08 12:29:14","[1,""25"",5]","2019-01-08 12:29:23","[5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,6,6,6]","2019-01-08 12:29:43","[2,3,3,3,3,3]","2019-01-08 12:36:49","","","",""
"67",156,"2019-01-09 13:45:55","[14,12,13]","2019-01-09 15:54:42","[0,""19"",3]","2019-01-09 15:54:52","[4,0,2,4,2,5,5,3,3,1,5,5,5,5,3,0,0,0]","2019-01-09 15:57:29","[1,3,1,1,1,1]","2019-01-09 16:26:22","","","",""
"68",178,"","[13,12,14]","2019-01-10 17:11:43","[1,""25"",5]","2019-01-10 17:11:49","[6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6]","2019-01-10 17:12:11","[4,4,4,4,4,4]","2019-01-10 17:13:42","","","",""
"69",178,"","[14,12,13]","2019-01-10 23:58:40","[1,""25"",4]","2019-01-10 23:58:46","[6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6]","2019-01-10 23:59:07","[4,4,4,4,4,4]","2019-01-11 00:06:00","","","",""
"70",211,"2019-01-12 16:33:55","[14,13,12]","2019-01-12 16:33:54","[1,""30"",6]","2019-01-12 16:34:09","[4,0,3,5,5,4,2,2,1,4,1,5,5,1,4,4,4,1]","2019-01-12 16:35:20","[3,1,4,2,3,1]","2019-01-12 16:41:02","","","",""
