,title,artist,track_uri,year,pos1999,pos2000,pos2001,pos2002,pos2003,pos2004,pos2005,pos2006,pos2007,pos2008,pos2009,pos2010,pos2011,pos2012,pos2013,pos2014,pos2015,pos2016,pos2017,pos2018,acousticness,danceability,duration_ms,energy,instrumentalness,loudness,speechiness,valence
60,Sebastian,Cockney Rebel,16889jRQ2uzOeDSHaMRLIw,1973,61,84,49,76,90,92,116,146,151,120,191,172,170,244,334,377,414,495,566,784,0.679,0.252,420653,0.238,0.00357,-14.212,0.0348,0.21
61,Dreadlock Holiday,﻿10cc,1LOZMYF5s8qhW7Rv4w2gun,1978,62,61,43,45,41,52,59,61,37,47,113,303,91,214,298,192,285,261,223,528,0.541,0.837,267947,0.38,0.00789,-13.341,0.064,0.892
62,Halo Of Flies,Alice Cooper,26uVP8g7Uijo0zuN22De3x,1973,63,24,19,21,35,39,57,78,56,51,91,85,109,167,191,209,253,288,268,452,0.394,0.387,502160,0.572,0.747,-12.565,0.0483,0.399
63,Go Your Own Way,Fleetwood Mac,07GvNcU1WdyZJq3XxP0kZa,1977,64,67,73,71,69,79,77,94,102,85,63,67,71,81,41,30,40,43,33,42,0.0185,0.583,223613,0.947,0.00109,-5.12,0.0378,0.803
64,Stil In Mij,Van Dik Hout,3xOiF0xnt47PgOwprICudF,1994,65,70,85,49,38,35,53,50,58,48,59,51,52,92,95,91,86,93,95,130,0.215,0.586,244933,0.653,0.000555,-8.576,0.0315,0.388
65,Ne Me Quitte Pas,Jacques Brel,6IRA4KOVbtiGiTdYoEThJN,1965,66,195,134,133,101,113,86,82,88,90,94,72,118,130,93,150,156,174,217,278,0.821,0.416,229400,0.236,0.00012,-10.962,0.0499,0.302
66,Wuthering Heights,Kate Bush,5YSI1311X8t31PBjkBG4CZ,1978,67,77,96,95,116,93,99,119,111,102,101,102,132,144,164,117,128,118,120,126,0.366,0.481,269067,0.392,0.0452,-11.381,0.0312,0.52
67,Paranoid,Black Sabbath,1jzDzZWeSDBg5fhNc3tczV,1970,68,0,79,52,42,58,96,124,105,80,112,114,103,88,71,104,123,113,111,133,7.85e-05,0.429,168440,0.631,0.00411,-11.514,0.0769,0.376
68,Mr. Blue Sky,Electric Light Orchestra,2RlgNHKcydI9sayD2Df2xp,1978,69,59,42,68,80,90,73,84,112,81,85,88,92,115,85,90,58,79,55,51,0.652,0.388,303373,0.338,3.72e-06,-10.054,0.0328,0.477
69,Heroes,David Bowie,7Jh1bpe76CNTCgdgAdBw4Z,1977,70,62,77,63,71,99,137,125,130,112,123,112,145,119,79,34,60,7,11,17,0.000671,0.49,371413,0.758,0.484,-6.491,0.0297,0.435
