,title,artist,track_uri,year,pos1999,pos2000,pos2001,pos2002,pos2003,pos2004,pos2005,pos2006,pos2007,pos2008,pos2009,pos2010,pos2011,pos2012,pos2013,pos2014,pos2015,pos2016,pos2017,pos2018
3389,Feel The Love (Oomachasaooma),10CC,15vb7UNhJ5c5K4exsUk3B3,1983,0,0,0,0,0,0,0,0,0,0,1714,0,1792,0,0,0,0,0,0,0
3390,Raspberry Beret,Prince & The Revolution,5jSz894ljfWE0IcHBSM39i,1985,0,0,0,0,0,0,0,0,0,0,1715,1306,1419,1454,1271,1231,1386,585,850,947
3391,Uprising,Muse,4VqPOruhp5EdPBeR92t6lQ,2009,0,0,0,0,0,0,0,0,0,0,1726,1202,255,175,137,159,114,128,96,98
3392,Haus Am See,Peter Fox,31OGqudpU36YpOkJXj72qQ,2009,0,0,0,0,0,0,0,0,0,0,1730,1163,284,194,184,214,199,279,287,276
3393,Blow Me Away,Alain Clark,7ly1lyWxV6YY7YiWC1OmBD,2008,0,0,0,0,0,0,0,0,0,0,1737,0,0,0,0,0,0,0,0,0
3394,Invisible Touch,Genesis,480dDrqG7LO6qDaphHeXlM,1986,0,0,0,0,0,0,0,0,0,0,1738,1851,1963,1788,1753,1699,1763,1705,1688,1776
3395,Shot Of A Gun,Kane,2Q1ILnByzXJacSoXZVfZW0,2008,0,0,0,0,0,0,0,0,0,0,1740,0,0,0,0,0,0,0,0,0
3396,Hot N Cold,Katy Perry,0iGckQFyv6svOfAbAY9aWJ,2008,0,0,0,0,0,0,0,0,0,0,1746,0,1209,1685,1380,0,0,0,0,0
3397,Dan Leef Ik Toch Nog Een Keer,Acda en De Munnik,4ayksik6LgHQXhtLzNoR44,2007,0,0,0,0,0,0,0,0,0,0,1750,1534,0,0,0,0,0,0,0,0
3398,Everybody (Backstreet's Back),Backstreet Boys,1di1BEgJYzPvXUuinsYJGP,1997,0,0,0,0,0,0,0,0,0,0,1762,0,0,0,1768,1671,1379,1541,1433,1549
3399,Breathless,Corrs,5OQGeJ1ceykovrykZsGhqL,2000,0,0,0,0,0,0,0,0,0,0,1763,1956,0,1876,0,0,0,0,0,0
3400,My Girl,Temptations,745H5CctFr12Mo7cqa1BMH,1964,0,0,0,0,0,0,0,0,0,0,1764,1951,1995,0,1581,0,0,0,0,0
3401,Say Say Say,Paul McCartney & Michael Jackson,1db0gbTSKdRQum8VlbNkiO,1983,0,0,0,0,0,0,0,0,0,0,1769,0,0,0,0,0,0,0,0,0
3402,Run,Amy Macdonald,1yHMzjKIdABYrdmtBugAH5,2009,0,0,0,0,0,0,0,0,0,0,1777,0,0,0,0,0,0,0,0,0
3403,Laat Het Vanavond Gebeuren,De Dijk,2wlKJj53zFYkC9aJvjy7an,1997,0,0,0,0,0,0,0,0,0,0,1778,0,1585,1724,1627,1737,1735,0,0,0
3404,She Will Be Loved,Maroon 5,7qeypxlCnXlFYo0HtJo4ex,2004,0,0,0,0,0,0,0,0,0,0,1779,1425,965,902,972,1099,1060,1264,1363,1440
3405,Silent Lucidity,Queensrÿche,6OSyCAmXT4Gkd3OQ2aPOaF,1990,0,0,0,0,0,0,0,0,0,0,1789,1508,514,436,350,303,281,350,303,365
3406,Save Tonight,Eagle Eye Cherry,0smyCrJiibi2uwCiq5R1vj,1998,0,0,0,0,0,0,0,0,0,0,1797,1588,1367,1585,1548,1277,1534,1710,1992,0
3407,All I Wanna Do Is Make Love To You,Heart,5YjKdeES9QRJ8NmF4Xc8pV,1990,0,0,0,0,0,0,0,0,0,0,1802,1705,0,0,1992,1712,1864,1973,1912,0
3408,Rockferry,Duffy,6lh9XpdR1rvqGdE2ouR7a6,2009,0,0,0,0,0,0,0,0,0,0,1803,0,0,0,0,0,0,0,0,0
3409,Un' Emozione Per Sempre,Eros Ramazzotti,1Hd8GLavCUUUx3GJdunJ4E,2003,0,0,0,0,0,0,0,0,0,0,1807,1741,1956,1411,1573,1831,1972,0,0,0
3410,Crazy,Gnarls Barkley,1vxw6aYJls2oq3gW0DujAo,2006,0,0,0,0,0,0,0,0,0,0,1811,1604,1825,1508,1462,1621,1601,1662,1766,1731
3411,America,Razorlight,6bS7DqTuzrpkluB7boWmw2,2006,0,0,0,0,0,0,0,0,0,0,1814,0,0,0,1934,0,0,0,0,0
3412,Strani Amori,Laura Pausini,6sErNJw6iQoyYH7dKh3iLo,1994,0,0,0,0,0,0,0,0,0,0,1822,1792,0,1805,1915,1837,1985,0,0,0
3413,Dedicated,Paul Carrack,0BQwakhA53hlPMMyKwQsXk,2005,0,0,0,0,0,0,0,0,0,0,1833,1923,0,0,0,0,0,0,0,0
3414,Hallelujah,Leonard Cohen,7yzbimr8WVyAtBX3Eg6UL9,1984,0,0,0,0,0,0,0,0,0,0,1838,0,163,142,173,154,188,29,98,127
3415,Selling The Drama,Live,5hE3T2329sdMmIrHxjhQDL,1995,0,0,0,0,0,0,0,0,0,0,1842,0,1897,1838,1911,0,0,0,0,0
3416,The Power Of Goodbye,Madonna,01VFDkHBNJcCNUjzD3flWg,1998,0,0,0,0,0,0,0,0,0,0,1843,1826,0,0,1966,0,0,0,0,0
3417,Wisemen,James Blunt,3agGciF4AC22Mf5Fev7B4p,2005,0,0,0,0,0,0,0,0,0,0,1849,0,1828,0,1877,0,0,0,0,0
3418,Killer,Adamski,5jhDeobWatA1XAHWKOWPh2,1990,0,0,0,0,0,0,0,0,0,0,1897,0,1590,1658,1971,1957,0,1938,1848,0
3419,It Takes Two,Rod Stewart & Tina Turner,0IffXbmCnEHyXnX4Rzl2bV,1990,0,0,0,0,0,0,0,0,0,0,1899,0,0,0,0,0,0,0,0,0
3420,She Sells Sanctuary,Cult,4vnLdmUdkOworoveEzpEST,1986,0,0,0,0,0,0,0,0,0,0,1914,0,526,332,293,260,257,246,231,331
3421,Another Day,Bertolf,19fXG7QBtxMBEDM4zGfahj,2008,0,0,0,0,0,0,0,0,0,0,1916,1838,0,0,0,0,0,0,0,0
3422,Mijn Leven Is Van Mij,Pia Douwes,7yTWlDR2sMXEgbbLMTXxhr,1999,0,0,0,0,0,0,0,0,0,0,1917,0,0,0,0,0,0,0,0,0
3423,If You Love Somebody Set Them Free,Sting,5Xhqe9xu6bKRSqLj1mS1SB,1985,0,0,0,0,0,0,0,0,0,0,1918,1866,1902,0,0,0,0,0,0,0
3424,Spirits Having Flown,Bee Gees,74NEN5TosrOFdVmAVvTf4a,1979,0,0,0,0,0,0,0,0,0,0,1923,0,0,0,0,0,0,0,0,0
3425,Suicide Blonde,INXS,6XxFTFauoIwxcEjeped3Iz,1990,0,0,0,0,0,0,0,0,0,0,1924,0,1908,1969,1715,1943,0,1917,1832,0
3426,Don't Look Back In Anger,Oasis,7ppPZa3TRUSGKaks9wH7VT,1996,0,0,0,0,0,0,0,0,0,0,1928,0,470,381,316,390,336,257,115,121
3427,I Love You,Ilse DeLange,4kcUB3fpEPOB6y627HlVaM,2007,0,0,0,0,0,0,0,0,0,0,1929,0,0,0,0,0,0,0,0,0
3428,Watermensen,3JS,5i0GCe9HKoiKi8WbFZRTqi,2008,0,0,0,0,0,0,0,0,0,0,1930,1015,373,872,549,863,1069,1276,1322,1794
3429,1973,James Blunt,1BV0m40U0M4t1SLIsDnwZl,2007,0,0,0,0,0,0,0,0,0,0,1931,1645,1766,1317,1619,0,0,0,0,0
3430,Suddenly I See,KT Tunstall,5p9XWUdvbUzmPCukOmwoU3,2006,0,0,0,0,0,0,0,0,0,0,1939,0,0,0,0,0,0,0,0,0
3431,Gli Impermeabili,Paolo Conte,06qT9GTvCvMR0Lz29pN9CN,1987,0,0,0,0,0,0,0,0,0,0,1946,0,0,1721,0,0,0,0,0,0
3432,Better Be Home Soon,Crowded House,4ZYCwq1EMPY5zZt195ARWg,1988,0,0,0,0,0,0,0,0,0,0,1953,1486,1648,0,1826,0,0,0,0,0
3433,It Ain't Over Till It's Over,Lenny Kravitz,6VnpKLtfNH4Dk09YSGPSyR,1991,0,0,0,0,0,0,0,0,0,0,1960,1811,1761,0,1795,1679,0,1959,0,0
3434,p:Machinery,Propaganda,6C2aFPWgwa2nWFysMMadKi,1985,0,0,0,0,0,0,0,0,0,0,1963,0,0,0,0,0,0,0,0,0
3435,Sweetest Thing,U2,7ndGFo9nZ108KPgXtfYWCe,1998,0,0,0,0,0,0,0,0,0,0,1972,0,1713,1981,1722,0,0,0,0,0
3436,Freedom! '90,George Michael,3tyTt5pEWblt96j1HsXiV5,1990,0,0,0,0,0,0,0,0,0,0,1980,0,1961,1579,1786,1985,1860,0,676,510
3437,Baila (Sexy Thing),Zucchero,2RdOgrF17wmKjH8S4jjFHK,2001,0,0,0,0,0,0,0,0,0,0,1987,1827,1911,0,0,0,0,0,0,0
3438,Is It Any Wonder,Keane,5xT8JXJSyHYNfC11OFqzFL,2006,0,0,0,0,0,0,0,0,0,0,1994,0,0,0,0,0,0,0,0,0
3439,A Night Like This,Caro Emerald,0T64UJIgsN7elrfp3t2Lf8,2009,0,0,0,0,0,0,0,0,0,0,0,22,48,100,155,204,364,529,655,722
3440,Just Breathe,Pearl Jam,6i81qFkru6Kj1IEsB7KNp2,2009,0,0,0,0,0,0,0,0,0,0,0,120,114,94,69,46,39,34,30,35
3441,No Surrender,Kane,5h6n6r5ff3uTirL8IJ0OYf,2009,0,0,0,0,0,0,0,0,0,0,0,178,331,627,690,624,1102,1510,1595,1944
3442,Back It Up,Caro Emerald,0yMhSIklYmMPqpyCFgp6nI,2009,0,0,0,0,0,0,0,0,0,0,0,197,585,668,752,1097,1290,1931,0,0
3443,Need You Now,Lady Antebellum,7GAaTpSoTWUTbP2Yxlt4Hd,2010,0,0,0,0,0,0,0,0,0,0,0,210,661,727,955,1020,1105,1372,1436,1734
3444,Just Say Yes,Snow Patrol,4k7P2LIQco8YCVbIZl1vZB,2009,0,0,0,0,0,0,0,0,0,0,0,258,319,491,529,742,891,998,1141,1172
3445,November,Rowwen Hèze,3o4xfpSIs6BWnHQTx1oMUL,2000,0,0,0,0,0,0,0,0,0,0,0,259,267,280,234,344,237,349,367,291
3446,Run,Snow Patrol,6kesIBNAY17BoAz28pnWMC,2004,0,0,0,0,0,0,0,0,0,0,0,327,198,207,179,288,275,292,312,264
3447,Wat Is Dromen,Ellen Ten Damme & 3JS,5jRE8yeRZHJKEPcn4rdoBg,2010,0,0,0,0,0,0,0,0,0,0,0,357,155,781,1162,1285,1513,0,0,0
3448,Use Somebody,Laura Jansen,74CRWolE5ys9xf30JTI3H2,2010,0,0,0,0,0,0,0,0,0,0,0,358,655,1076,1195,1530,0,0,0,0
3449,Haven't Met You Yet,Michael Bublé,4fIWvT19w9PR0VVBuPYpWA,2009,0,0,0,0,0,0,0,0,0,0,0,371,750,1070,1295,1696,1772,0,0,0
3450,Heartbreak Warfare,John Mayer,4gs07VlJST4bdxGbBsXVue,2010,0,0,0,0,0,0,0,0,0,0,0,379,612,831,725,1032,1125,1362,1342,1496
3451,For Bitter Or Worse,Anouk,3bxzYaYlbTV2RSChRhr85s,2009,0,0,0,0,0,0,0,0,0,0,0,400,269,202,358,429,600,849,874,919
3452,Hallelujah,Lisa Lois,0m86OeKQHxdpygDPzGQUPK,2009,0,0,0,0,0,0,0,0,0,0,0,409,296,393,458,593,761,807,896,765
3453,Fireflies,Owl City,3DamFFqW32WihKkTVlwTYQ,2009,0,0,0,0,0,0,0,0,0,0,0,471,924,971,1001,1184,1018,1293,1245,1284
3454,Woman,Anouk,4ZOGeI0fnp3zqY5ILBOEhU,2009,0,0,0,0,0,0,0,0,0,0,0,656,1220,1145,1485,1556,0,0,0,0
3455,Hey Soul Sister,Train,4HlFJV71xXKIGcU3kRyttv,2010,0,0,0,0,0,0,0,0,0,0,0,685,1193,1078,1544,1941,0,0,0,0
3456,Empire State Of Mind (Part 2),Alicia Keys,63kqWV4uJovbh830PAwC1J,2009,0,0,0,0,0,0,0,0,0,0,0,712,173,72,110,129,1773,221,382,412
3457,Wicked Way,Waylon,0SHZ3rdW5IFv6fyVpmB4oT,2009,0,0,0,0,0,0,0,0,0,0,0,723,831,1344,1677,1439,0,820,1420,0
3458,Half Of My Heart,John Mayer & Taylor Swift,7hR5toSPEgwFZ78jfHdANM,2010,0,0,0,0,0,0,0,0,0,0,0,811,1327,864,986,1557,1865,0,0,0
3459,Geloven In Het Leven,3JS,1FQUPfW7zKyiUHMJFr8c8d,2010,0,0,0,0,0,0,0,0,0,0,0,819,642,1131,1255,1181,1420,1923,0,0
3460,Eva,Acda en De Munnik,45CUrsU6XpQzzNJgdpOban,2010,0,0,0,0,0,0,0,0,0,0,0,820,1077,1640,1807,0,0,0,0,0
3461,Love Is Everywhere,Alain Clark,2ZG8yTl224ZT6GRGEVhHJR,2010,0,0,0,0,0,0,0,0,0,0,0,959,0,0,0,0,0,0,0,0
3462,Sex On Fire,Kings Of Leon,0ntQJM78wzOLVeCUAW7Y45,2008,0,0,0,0,0,0,0,0,0,0,0,966,122,122,98,139,150,166,218,277
3463,Hold On,Michael Bublé,0Xwfq9T1CruynQcHKY1hs4,2010,0,0,0,0,0,0,0,0,0,0,0,1056,1805,0,0,0,0,0,0,0
3464,Het Masker,Nick & Simon,64ZdhdWsezuhaKbcr8fOnl,2009,0,0,0,0,0,0,0,0,0,0,0,1074,948,1796,1798,0,0,0,0,0
3465,The Cave,Mumford & Sons,2HRpLui16GCENLFDXrnNkO,2010,0,0,0,0,0,0,0,0,0,0,0,1236,147,58,117,200,239,272,316,306
3466,Twee Meisjes,Raymond van het Groenewoud,31VdbMngS4qIXl6USIEYMr,1996,0,0,0,0,0,0,0,0,0,0,0,1453,1633,1700,1719,1885,0,0,0,0
3467,Morning Sun,Robbie Williams,0tOpMcr2I01zrr4lyVUHJk,2009,0,0,0,0,0,0,0,0,0,0,0,1462,0,0,0,0,0,0,0,0
3468,Killing Me Softly,Fugees,0Q0IVlqMV64kNLlwjPj0Hl,1996,0,0,0,0,0,0,0,0,0,0,0,1643,1872,1815,1697,1911,1937,1728,1631,1452
3469,Lucky All My Life,Racoon,2u0CMOGkqFnHceD1UAPV7o,2008,0,0,0,0,0,0,0,0,0,0,0,1656,1878,1557,1850,1915,0,0,0,0
3470,Most Beautiful Girl In The World,Prince,2TAdelKqtPjyHWYMMkcmVX,1994,0,0,0,0,0,0,0,0,0,0,0,1702,1896,0,1892,0,0,1268,0,0
3471,Stilte In De Storm,Jan Smit,39ZTmjrBK4tM2tlohOpmkF,2008,0,0,0,0,0,0,0,0,0,0,0,1706,1545,0,0,0,0,0,0,0
3472,No More I Love You's,Annie Lennox,2Pn5gvVioma5LHPxgEBBmD,1995,0,0,0,0,0,0,0,0,0,0,0,1739,0,0,0,0,0,0,0,0
3473,Go West,Pet Shop Boys,5Klo65Y9uouLjNVDV3pqh7,1993,0,0,0,0,0,0,0,0,0,0,0,1785,1992,0,1958,1876,1764,1914,1795,0
3474,Upside Down,Jack Johnson,0aJrYfARfCKzv6gXjhs4SZ,2006,0,0,0,0,0,0,0,0,0,0,0,1871,1912,0,1944,0,0,0,0,0
3475,Paid My Dues,Anastacia,37B4dZDMdzh1D7isPVF2df,2001,0,0,0,0,0,0,0,0,0,0,0,1949,0,0,0,0,0,0,0,0
3476,You Know Me,Robbie Williams,038Vsed713O0nzsuN4UOBG,2009,0,0,0,0,0,0,0,0,0,0,0,1971,0,0,0,0,0,0,0,0
3477,The Healer,Santana & John Lee Hooker,3h7tr47MIwSz0i53YzliBg,1990,0,0,0,0,0,0,0,0,0,0,0,1981,1860,1380,1347,1720,0,0,0,0
3478,Patience,Take That,4DxybsoSiMUW0JI2oM0SSN,2006,0,0,0,0,0,0,0,0,0,0,0,1989,0,0,0,0,0,0,0,0
3479,Someone Like You,Adele,6QPKYGnAW9QozVz2dSWqRg,2011,0,0,0,0,0,0,0,0,0,0,0,0,6,8,25,35,18,47,89,97
3480,Rolling In The Deep,Adele,1eq1wUnLVLg4pdEfx9kajC,2010,0,0,0,0,0,0,0,0,0,0,0,0,21,13,75,88,75,101,163,163
3481,Set Fire To The Rain,Adele,5PKWUDfQFtc5qqo8cs1gQp,2011,0,0,0,0,0,0,0,0,0,0,0,0,26,37,103,106,88,181,253,248
3482,Paradise,Coldplay,6nek1Nin9q48AVZcWs9e9D,2011,0,0,0,0,0,0,0,0,0,0,0,0,74,126,149,220,264,346,396,380
3483,Highway To Hell,AC/DC,2zYzyRzz6pRmhPzyfMEC8s,1979,0,0,0,0,0,0,0,0,0,0,0,0,128,114,121,66,91,65,43,59
3484,Paranoid Android,Radiohead,2nTsKOXIVGDf2iPeVQO2Gm,1997,0,0,0,0,0,0,0,0,0,0,0,0,166,152,144,178,200,210,224,301
3485,No Mercy,Racoon,58rFvJfLuVEFel86hkoYez,2011,0,0,0,0,0,0,0,0,0,0,0,0,171,212,291,256,418,506,599,900
3486,I Gotta Feeling,Black Eyed Peas,4kLLWz7srcuLKA7Et40PQR,2009,0,0,0,0,0,0,0,0,0,0,0,0,188,369,365,402,677,846,843,677
3487,Yellow,Coldplay,3AJwUDP919kvQ9QcozQPxg,2000,0,0,0,0,0,0,0,0,0,0,0,0,190,176,154,195,158,111,126,116
3488,Rumour Has It,Adele,50yHVBbU6M4iIfqBI1bxWx,2011,0,0,0,0,0,0,0,0,0,0,0,0,220,277,611,808,756,1096,1511,1180
3489,One Day Like This,Elbow,1OZSVl0JJ1MBzibpuhmmXb,2008,0,0,0,0,0,0,0,0,0,0,0,0,228,285,237,177,142,183,139,207
3490,Knights Of Cydonia,Muse,7ouMYWpwJ422jRcDASZB7P,2006,0,0,0,0,0,0,0,0,0,0,0,0,235,186,128,166,130,135,125,132
3491,Lightning Crashes,Live,5vVmnv4EN3X2VBa5Fo3UFM,1995,0,0,0,0,0,0,0,0,0,0,0,0,240,270,204,228,202,202,191,237
3492,Every Teardrop Is A Waterfall,Coldplay,2U8g9wVcUu9wsg6i7sFSv8,2011,0,0,0,0,0,0,0,0,0,0,0,0,258,411,434,583,834,1067,1255,1259
3493,Grenade,Bruno Mars,4lLtanYk6tkMvooU0tWzG8,2010,0,0,0,0,0,0,0,0,0,0,0,0,320,768,898,1414,1776,1600,1752,1666
3494,Plug In Baby,Muse,2UKARCqDrhkYDoVR4FN5Wi,2001,0,0,0,0,0,0,0,0,0,0,0,0,343,298,211,302,267,314,358,421
3495,Prachtig Mooie Dag,Daniel Lohues,5vQNVAXhwU9TSokCHebcwk,2011,0,0,0,0,0,0,0,0,0,0,0,0,346,485,371,329,443,461,636,923
3496,Moves Like Jagger,Maroon 5 & Christina Aguilera,7pYfyrMNPn3wtoCyqcTVoI,2011,0,0,0,0,0,0,0,0,0,0,0,0,371,757,1146,1375,1664,1999,0,0
3497,Ice Queen,Within Temptation,6WISqX9A2CwDs9Xnd9uz6p,2002,0,0,0,0,0,0,0,0,0,0,0,0,379,206,216,218,229,296,245,206
3498,Trouble,Coldplay,0R8P9KfGJCDULmlEoBagcO,2002,0,0,0,0,0,0,0,0,0,0,0,0,381,297,322,444,530,650,759,774
3499,Starlight,Muse,3skn2lauGk7Dx6bVIt5DVj,2006,0,0,0,0,0,0,0,0,0,0,0,0,418,404,273,363,347,423,444,466
3500,Somebody That I Used To Know,Gotye ft. Kimbra,62oaDoBveZxvZb94ziiMXi,2011,0,0,0,0,0,0,0,0,0,0,0,0,424,25,63,119,189,271,468,454
3501,The Lazy Song,Bruno Mars,386RUes7n1uM1yfzgeUuwp,2011,0,0,0,0,0,0,0,0,0,0,0,0,432,1227,1467,1953,0,0,0,0
3502,Dat Komt Door Jou,Guus Meeuwis,0X6rTU4wYIzM2CSu75Nbsj,2009,0,0,0,0,0,0,0,0,0,0,0,0,462,296,451,486,344,492,627,555
3503,Somebody To Love (Live),George Michael & Queen,3g8OM1tEhwNQqsXDHhVbQQ,1993,0,0,0,0,0,0,0,0,0,0,0,0,575,847,838,941,517,1054,135,68
3504,For The First Time,The Script,49kjlZP49LMD1MrrcvXDET,2010,0,0,0,0,0,0,0,0,0,0,0,0,604,805,893,1087,1458,1951,0,0
3505,That Man,Caro Emerald,4gzjSW3YgZPgLCQ1Hf6vQj,2010,0,0,0,0,0,0,0,0,0,0,0,0,605,943,916,1387,1676,0,0,0
3506,Afscheid,Glennis Grace,0XzxGUfBEkMP0NdUCRhTR9,2011,0,0,0,0,0,0,0,0,0,0,0,0,641,559,1346,1756,1798,0,0,0
3507,Bad Romance,Lady Gaga,2oZ82ysXFREXuublmAaHVj,2009,0,0,0,0,0,0,0,0,0,0,0,0,676,903,1056,1545,1540,1617,1515,1125
3508,Als Ze Danst,Guus Meeuwis,54a38S7ttkHdfrVx04SmSK,2011,0,0,0,0,0,0,0,0,0,0,0,0,689,1183,1750,0,0,0,0,0
3509,Hou Vol Hou Vast,Bløf,0yE97dsmDBiumMmGNkLgrb,2011,0,0,0,0,0,0,0,0,0,0,0,0,696,1063,1299,1346,1604,1553,1887,1625
3510,Poker Face,Lady Gaga,2BIzn7QBHMqy8qfsZ1MlHH,2009,0,0,0,0,0,0,0,0,0,0,0,0,704,915,1167,1615,1684,1887,1645,1659
3511,Happiness,Alexis Jordan,2zX22RoaGg8KGuNCzSBwBP,2011,0,0,0,0,0,0,0,0,0,0,0,0,715,856,1508,0,0,0,0,0
3512,Umbrella,Baseballs,7Dne01NtfNyhp7vOj7uPPY,2010,0,0,0,0,0,0,0,0,0,0,0,0,748,1223,1584,1664,1784,0,0,0
3513,Violet Hill,Coldplay,5147DzKnamWyQdZwsYLHEJ,2008,0,0,0,0,0,0,0,0,0,0,0,0,767,876,780,1219,1187,1566,1604,1732
3514,Weak,Skunk Anansie,2xbt9VePhuPH3xH0ceAuA8,1995,0,0,0,0,0,0,0,0,0,0,0,0,788,807,717,1024,1023,796,837,808
3515,They Don't Care About Us,Michael Jackson,3wuCCNCnBhJlwkIJTBZFiv,1996,0,0,0,0,0,0,0,0,0,0,0,0,806,1059,596,646,433,584,625,435
3516,Black Hole Sun,Soundgarden,2EoOZnxNgtmZaD8uUmz2nD,1994,0,0,0,0,0,0,0,0,0,0,0,0,849,469,418,539,605,425,193,261
3517,De Dag Dat Alles Beter Is,Nick & Simon,5RB7P4qqlddy8pr32VFnQr,2009,0,0,0,0,0,0,0,0,0,0,0,0,885,1883,1926,0,0,0,0,0
3518,Vallende Sterren,Nick & Simon,1E5vL2Rk0m1vYjgWHaBQSi,2009,0,0,0,0,0,0,0,0,0,0,0,0,890,1655,1879,0,0,0,0,0
3519,Took A Hit,Racoon,2ROYEdCwaR15JQvi13Rj8X,2011,0,0,0,0,0,0,0,0,0,0,0,0,909,1016,1177,1561,0,0,0,0
3520,De Stroom,3JS,1AZCZgAmcPhttm5UiGuU9e,2011,0,0,0,0,0,0,0,0,0,0,0,0,926,1991,0,0,0,0,0,0
3521,Skinny Love,Birdy,4RL77hMWUq35NYnPLXBpih,2011,0,0,0,0,0,0,0,0,0,0,0,0,957,412,682,1190,1473,1429,1633,1764
3522,Lullaby,Cure,09OpntwPHuNICsyEt1ETpE,1989,0,0,0,0,0,0,0,0,0,0,0,0,978,746,662,746,668,620,690,830
3523,Alejandro,Lady Gaga,1HHeOs6zRdF8Ck58easiAY,2010,0,0,0,0,0,0,0,0,0,0,0,0,981,1101,1675,0,0,0,0,0
3524,Beter,Bløf,1cAHH56bFfVWe5VoFPHq2O,2011,0,0,0,0,0,0,0,0,0,0,0,0,987,1524,0,0,0,0,0,0
3525,Stuck,Caro Emerald,5KDSjOIn9edXbJpThayTKk,2010,0,0,0,0,0,0,0,0,0,0,0,0,1022,1435,1600,0,0,0,0,0
3526,Everlong,Foo Fighters,5UWwZ5lm5PKu6eKsHAGxOk,1997,0,0,0,0,0,0,0,0,0,0,0,0,1083,185,162,201,133,168,151,170
3527,Back To Black,Amy Winehouse,3FAclTFfvUuQYnEsptbK8w,2006,0,0,0,0,0,0,0,0,0,0,0,0,1089,97,175,153,98,45,57,43
3528,Beautiful Distraction,Ilse DeLange,3BOO4oC5lCo4KnmfKoLIbr,2010,0,0,0,0,0,0,0,0,0,0,0,0,1162,1085,1337,1960,0,0,0,0
3529,Hoe Lang,Nick & Simon,2DDfuiTgM8lOcL10Ok6afO,2008,0,0,0,0,0,0,0,0,0,0,0,0,1205,0,1982,0,0,0,0,0
3530,Armen Open,Guus Meeuwis,3JX6HhSNAapjkQNQeY2o0L,2011,0,0,0,0,0,0,0,0,0,0,0,0,1222,1355,0,0,0,0,0,0
3531,In Your Light,Jon Allen,3jsbGTFHDymHz1UHnxjBti,2009,0,0,0,0,0,0,0,0,0,0,0,0,1228,1784,0,0,0,0,0,0
3532,Plage,Crystal Fighters,0oONYELSGiAP5f7x7NLMgd,2011,0,0,0,0,0,0,0,0,0,0,0,0,1265,1697,1845,0,0,0,0,0
3533,Paparazzi,Lady Gaga,02XnQdf7sipaKBBHixz3Zp,2009,0,0,0,0,0,0,0,0,0,0,0,0,1281,1812,0,0,0,0,0,0
3534,You And Me (In My Pocket),Milow,1szqiUxttcIKxfKuZkvy50,2011,0,0,0,0,0,0,0,0,0,0,0,0,1295,1503,0,0,0,0,0,0
3535,Friday I'm In Love,Cure,4QlzkaRHtU8gAdwqjWmO8n,1992,0,0,0,0,0,0,0,0,0,0,0,0,1314,1155,938,1086,985,890,970,1095
3536,The Flood,Take That,2a3U3GTCvrcma7wetBtOpi,2010,0,0,0,0,0,0,0,0,0,0,0,0,1329,1587,1824,1815,0,0,0,0
3537,Next To Me,Ilse DeLange,4vrcVOWlA2B1pMAMmohaeL,2010,0,0,0,0,0,0,0,0,0,0,0,0,1346,1379,1522,1670,0,0,0,0
3538,Three Little Birds,Bob Marley & The Wailers,6A9mKXlFRPMPem6ygQSt7z,1977,0,0,0,0,0,0,0,0,0,0,0,0,1356,242,243,315,346,331,326,238
3539,Riviera Life,Caro Emerald,4OdIPKarv5SzDW9seJSb2B,2011,0,0,0,0,0,0,0,0,0,0,0,0,1424,0,0,0,0,0,0,0
3540,Misery,Maroon 5,0RZyUsKfiC7MtiGKatCtGc,2010,0,0,0,0,0,0,0,0,0,0,0,0,1426,1684,0,0,0,0,0,0
3541,Lippy Kids,Elbow,0hY82Rdf8woq4p5m0ZvfJZ,2011,0,0,0,0,0,0,0,0,0,0,0,0,1442,586,599,605,456,659,490,795
3542,Wicked World,Laura Jansen,31OvUS1XU0xoFR2wDbtsZ2,2010,0,0,0,0,0,0,0,0,0,0,0,0,1452,1813,0,0,0,0,0,0
3543,Killing In The Name,Rage Against The Machine,59WN2psjkt1tyaxjspN8fp,1992,0,0,0,0,0,0,0,0,0,0,0,0,1454,188,94,87,94,70,64,62
3544,Brother,Racoon,6TJfzWjXsZLnevZaiKjtxJ,2006,0,0,0,0,0,0,0,0,0,0,0,0,1459,973,1035,1026,1328,1703,1935,0
3545,Something In The Water,Brooke Fraser,5ouXSHkPf6VnpeKqYuyBBU,2011,0,0,0,0,0,0,0,0,0,0,0,0,1460,0,0,0,0,0,0,0
3546,Stay The Night,James Blunt,7FFl1IHSsPWsfUCladsCl9,2010,0,0,0,0,0,0,0,0,0,0,0,0,1489,0,0,0,0,0,0,0
3547,The Pretender,Foo Fighters,7x8dCjCr0x6x2lXKujYD34,2007,0,0,0,0,0,0,0,0,0,0,0,0,1498,154,96,107,70,89,88,83
3548,Let's Go Crazy,Prince & the Revolution,0QeI79sp1vS8L3JgpEO7mD,1985,0,0,0,0,0,0,0,0,0,0,0,0,1503,1434,1524,1410,1781,702,1056,1256
3549,Deeper Underground,Jamiroquai,19x5x7F8SYMfWNiJOmqMUu,1998,0,0,0,0,0,0,0,0,0,0,0,0,1505,1761,1518,0,0,0,0,0
3550,Kryptonite,3 Doors Down,6ZOBP3NvffbU4SZcrnt1k6,2000,0,0,0,0,0,0,0,0,0,0,0,0,1514,192,186,162,164,192,201,236
